ax,ay,az,gx,gy,gz
Samples stored: 73
-6.8307,-1.8052,8.0780,0.1202,0.0112,0.0125
-6.8331,-1.6903,8.0565,0.1242,0.0128,0.0157
-6.8402,-1.8579,8.0709,0.1295,0.0123,0.0120
-6.7924,-1.7406,8.0302,0.1087,0.0184,0.0213
-6.7900,-1.7957,8.1068,0.1268,0.0019,0.0096
-6.8163,-1.7980,8.0254,0.1330,0.0021,0.0077
-6.7804,-1.7549,8.0852,0.1314,-0.0043,0.0067
-6.8714,-1.8244,8.0086,0.1252,0.0053,0.0099
-6.7828,-1.7597,8.1020,0.1300,0.0005,0.0029
-6.8666,-1.6903,8.0493,0.1231,0.0176,0.0101
-6.7876,-1.9154,7.9990,0.1319,-0.0032,0.0075
-6.8283,-1.6783,8.0804,0.1226,0.0125,0.0091
-6.9216,-1.8651,7.9272,0.1322,-0.0075,0.0069
-6.7540,-1.7047,8.0996,0.1388,-0.0168,0.0027
-6.8785,-1.8292,7.9871,0.1207,0.0141,0.0085
-6.8091,-1.7933,8.0637,0.1348,-0.0099,0.0045
-6.8570,-1.7406,8.0206,0.1295,-0.0029,0.0067
-6.8163,-1.8387,8.0445,0.1367,-0.0144,0.0043
-6.7445,-1.7502,8.1163,0.1343,-0.0112,0.0005
-6.8642,-1.8268,8.0302,0.0799,0.0802,0.0349
-6.1699,-1.5586,9.0381,0.1705,0.0973,-0.0445
-6.9719,-1.7310,7.8219,0.0341,-0.0253,0.0821
-6.8378,-1.7262,7.9871,0.0922,-0.0290,0.0426
-6.7924,-1.8411,8.1020,0.1263,0.0277,0.0069
-6.8809,-1.7573,7.9871,0.1292,0.0147,0.0011
-6.7852,-1.7478,8.1068,0.1252,-0.0045,0.0123
-6.8929,-1.8435,8.0278,0.1162,0.0213,0.0282
-6.7780,-1.6759,8.1187,0.1220,0.0048,0.0045
-6.8259,-1.9010,7.9775,0.1340,0.0003,0.0005
-6.4212,-1.7909,8.4922,0.1607,0.0743,-0.0805
-6.9001,-1.6783,7.9607,0.1407,-0.0085,-0.0005
-6.8091,-1.8316,8.0756,0.1428,-0.0277,-0.0035
-6.7540,-1.8172,8.0972,0.1364,-0.0072,0.0061
-6.8714,-1.7454,8.0086,0.1290,-0.0024,0.0064
-6.7301,-1.7980,8.0756,0.1316,-0.0061,0.0059
-6.8187,-1.7765,8.0541,0.1324,-0.0005,0.0088
-6.7995,-1.7669,8.0565,0.1330,-0.0035,0.0072
-6.7397,-1.8076,8.0828,0.1388,-0.0141,0.0120
-6.8235,-1.7238,8.0541,0.1287,0.0005,0.0045
-6.7780,-1.7837,8.0685,0.1282,0.0013,0.0069
-6.7756,-1.8100,8.1331,0.1316,-0.0021,0.0053
-6.8354,-1.7238,8.0469,0.1290,-0.0013,0.0075
-6.7852,-1.8292,8.0661,0.1276,-0.0019,0.0067
-6.7780,-1.7478,8.0637,0.1354,-0.0029,0.0061
-6.8354,-1.7837,8.0541,0.1372,-0.0104,0.0032
-6.7684,-1.7621,8.1092,0.1308,-0.0016,0.0051
-6.8115,-1.8148,8.0541,0.1308,-0.0024,0.0048
-6.7924,-1.7382,8.0924,0.1300,-0.0016,0.0061
