ax,ay,az,gx,gy,gz
Samples stored: 60
8.0780,-5.6336,-0.7278,0.1364,0.0053,0.0501
8.0325,-5.6503,-0.6943,0.1242,-0.0048,0.0325
8.0756,-5.7772,-0.8954,0.1106,-0.0306,0.0296
6.7133,-8.0349,-0.4022,0.5609,0.0120,-0.4690
8.5473,-8.8801,-0.3304,2.1117,-0.4165,-1.4027
7.3981,-1.1492,1.4868,3.7497,-0.7917,-0.7043
14.2575,-0.4932,-0.3089,2.7126,-1.1077,-0.6291
2.1739,-3.7996,-3.0143,1.9145,-0.6017,-0.2606
8.4539,-2.2218,0.0431,3.1738,-1.7946,-0.5721
-0.9505,-6.5314,-2.9592,8.0682,-2.0054,-1.6337
8.6622,-6.5050,-0.6201,4.0089,-0.9196,-1.6158
4.2306,3.5434,2.5426,1.4216,-1.5012,-3.2538
-1.9465,12.0404,-2.2194,0.2284,-1.6920,-1.3320
-1.3408,11.5975,-2.6456,-1.0291,0.1889,-1.9388
2.0087,14.2287,-1.1301,0.6843,0.2372,1.1828
0.6129,10.8266,-1.5897,0.5263,0.4183,1.2990
5.6503,15.6174,-2.5067,-0.0088,0.0530,1.4298
5.7293,3.4500,0.9146,0.4519,0.1287,2.1853
14.1952,-1.4820,-3.2561,0.1418,0.5097,0.9942
9.7133,3.8475,-0.0383,0.5454,-0.0783,0.3160
9.3015,-3.4788,0.5962,0.3032,-0.1159,-0.1868
10.1993,0.3567,-1.1875,-0.1484,-0.0061,-0.5103
6.3015,3.7900,0.7566,0.4239,0.2044,-0.0312
13.3644,-0.4717,-1.2498,0.5401,0.2377,1.1604
7.4843,-1.8866,-0.6225,0.0917,0.6166,-0.1727
9.2536,-0.4357,0.7853,-0.0218,0.2521,-0.2606
11.2743,-3.0143,0.9218,1.1207,-0.8599,1.4599
6.0573,-3.4381,-0.8835,0.9785,-0.8474,0.8100
8.0804,-6.0885,-1.0774,0.2451,-0.2084,0.1977
8.1187,-5.0182,-2.0638,0.4970,-0.1303,0.3677
7.7045,-6.3422,-2.0758,0.2705,0.0485,0.4975
6.5721,-7.1874,-0.7973,0.3845,-0.0552,0.5396
6.1746,-7.4460,1.1229,0.3672,-0.0770,0.2356
6.2082,-8.7436,0.3065,0.1636,-0.0560,0.2356
5.7844,-8.0756,-0.4669,0.2697,0.0560,-0.0096
5.8706,-8.4611,-0.1676,0.4056,0.0250,0.1951
6.1339,-8.7867,0.1820,0.1175,-0.0810,-0.0250
5.8538,-8.0996,0.6536,0.0187,-0.0005,0.0472
5.5689,-8.2911,0.6129,0.0314,0.0181,0.0040
5.8754,-8.3103,0.3807,0.1996,-0.0333,-0.0642
5.8203,-8.0134,0.4908,0.2041,-0.0067,-0.1234
5.9999,-8.0756,0.2490,0.1743,-0.0437,0.0416
5.8945,-7.9679,0.2155,0.1138,0.0501,-0.0157
5.9185,-7.8913,0.2490,0.1663,0.0674,-0.0107
5.9448,-8.0206,0.3232,0.0829,-0.0274,0.0136
5.7724,-8.0732,0.3855,0.1463,-0.0269,0.0184
5.9376,-8.1762,0.1556,0.1327,-0.0477,-0.0240
6.2441,-7.7859,0.2658,0.1226,-0.0221,-0.3238
6.7181,-7.3717,0.1556,0.1450,0.0197,-0.2465
1.3240,-1.2186,0.0263,0.1370,-0.0056,-0.0306
7.2640,-6.6008,0.1221,0.1599,0.0003,0.0091
7.3263,-6.6966,0.2107,0.1034,0.0040,0.0250
7.3310,-6.8091,0.1389,0.0973,0.0424,-0.0187
7.3478,-6.7564,0.1437,0.1327,-0.0048,0.0229
7.3191,-6.8498,0.1365,0.1498,-0.0064,0.0394
7.3119,-6.7540,0.1077,0.1311,-0.0274,0.0056
7.2089,-6.8187,0.0407,0.1876,-0.0328,0.0269
7.2425,-6.7109,0.2035,0.1047,-0.0147,0.0016
7.2951,-6.8235,0.1149,0.1386,0.0104,0.0218
7.2975,-6.9360,0.0862,0.1482,0.0245,0.0048
Samples stored: 80
7.9464,-5.9640,0.2083,0.1418,-0.0309,0.0730
7.8841,-6.0597,0.2538,0.1300,-0.0197,0.0211
7.9416,-6.2441,0.1915,0.1764,-0.0357,0.0791
4.7932,-9.6486,0.6464,-0.2689,0.0344,-0.2625
9.3039,-8.5018,-0.5818,-0.1466,0.4434,-0.8551
8.3079,-4.6424,0.3903,-1.6030,0.9182,-0.0624
13.4482,2.5642,1.3623,-1.4997,0.1529,-0.5556
5.8466,-0.0718,1.0511,0.3813,0.0091,0.0245
12.1242,2.4780,-1.4844,0.3176,-0.0432,0.2880
6.4787,0.2035,1.5969,0.1974,0.4101,0.4538
9.2775,1.1157,1.5490,1.5500,0.4207,-0.1335
8.4779,-22.4169,4.4412,3.6276,2.4142,0.7053
19.1225,5.1834,0.2825,3.4145,3.1864,-0.3912
15.3564,4.0318,10.0628,1.2409,0.9030,0.9196
6.9312,2.6863,11.9183,1.1255,-1.5268,0.6694
7.9895,-0.4669,4.5107,0.6227,-1.3893,-0.0805
7.9751,-0.5674,1.2474,0.2545,-1.3363,0.2467
9.3877,-2.6815,-1.4102,1.3299,-0.3123,-0.1026
9.6367,-0.7925,-2.1165,0.7285,-0.0488,-0.2510
8.5425,-0.6847,2.2577,-0.9326,0.1332,-0.1881
10.4244,3.9002,2.3870,-0.8705,-0.0786,0.6430
14.8201,-6.3351,1.5850,-0.9611,-0.6816,1.4437
11.1690,-3.6631,-1.5323,0.0421,-0.3576,0.3882
6.1124,-4.6974,0.6225,-0.1580,0.0477,1.0587
4.8147,-5.5641,-0.4597,-0.4426,0.5718,0.7144
5.7197,-6.3973,-1.0989,-0.6363,0.8247,0.4258
5.0661,-6.3470,-0.9098,-0.3203,0.4050,0.0546
5.7509,-8.3007,-0.9768,0.2278,0.3395,0.3568
5.5689,-7.7788,0.0886,-0.0160,0.3720,-0.0440
6.2728,-8.9495,-0.1030,0.0962,0.1937,0.3568
5.2265,-9.0214,-0.0455,0.2270,-0.0165,0.5143
4.3766,-8.8921,0.1700,0.2246,0.1591,0.2646
3.9744,-9.3925,0.0359,0.1090,0.1194,0.1343
4.0247,-8.9639,-0.0814,0.0941,0.0045,-0.0205
4.0366,-8.8538,-0.0599,0.1156,0.0613,0.0645
4.1539,-9.0716,-0.0551,0.1263,0.0386,0.1271
4.1515,-9.0932,-0.1580,0.1322,0.0541,0.0333
3.9193,-9.0309,-0.0862,0.1266,0.0405,0.0637
3.8595,-8.9926,-0.1484,0.1553,0.0362,0.0610
3.9768,-9.1770,-0.2298,0.1300,0.0490,0.0274
3.8451,-9.1650,-0.1269,0.1609,0.0258,0.0314
3.8188,-9.3446,-0.0431,0.1492,-0.0061,-0.0480
3.5171,-8.8442,-0.0503,0.1935,-0.0746,-0.0863
3.9049,-9.2464,-0.2562,0.0629,-0.0738,-0.0165
4.0079,-9.1147,-0.2346,0.1681,-0.0067,0.0317
3.9696,-9.2201,-0.2945,0.1628,0.0434,-0.0352
3.8954,-8.9088,-0.1173,0.0967,-0.0144,-0.0011
